algorithm,lambda,run,cost,runtime,hospitals,avg_travel,evaluations
HC init=5%,50,1,5073.15040913303,0.060321099823340774,27,6.744837697704764,2901
HC init=5%,50,2,5113.51627297748,0.06893679988570511,27,6.817964262640362,3401
HC init=5%,50,3,5083.526775042103,0.06097529991529882,27,6.763635462032795,3001
HC init=5%,50,4,5107.2098387970145,0.05254040006548166,27,6.806539563038069,2701
HC init=5%,50,5,5124.236716834836,0.054687999887391925,27,6.837385356584849,2801
HC init=15%,50,1,5083.8079186427385,0.06904279999434948,27,6.7641447801498895,3201
HC init=15%,50,2,5190.515845357455,0.05530130001716316,28,6.866876531444665,2701
HC init=15%,50,3,5114.042251416135,0.05722680012695491,26,6.9094968322756065,2801
HC init=15%,50,4,5153.452430726309,0.06613580021075904,27,6.890312374504183,3201
HC init=15%,50,5,5101.796296542669,0.06823959993198514,28,6.7061527111280235,3301
HC init=30%,50,1,5125.346474517524,0.08195800008252263,27,6.839395787169429,3701
HC init=30%,50,2,5103.178216258353,0.0904404001776129,28,6.708656188873828,3901
HC init=30%,50,3,5154.995798082413,0.06349910004064441,27,6.893108329859444,3001
HC init=30%,50,4,5155.97054507368,0.0766884998884052,27,6.894874175858116,3501
HC init=30%,50,5,5207.048639704859,0.07356019993312657,28,6.896827245842137,3401
SA alpha=0.9,50,1,5128.905595210153,0.6376392000820488,27,6.84584346958361,20000
SA alpha=0.9,50,2,5110.525363721032,0.632968100020662,26,6.903125658914911,20000
SA alpha=0.9,50,3,5180.079714101848,0.6568471000064164,28,6.847970496561319,20000
SA alpha=0.9,50,4,5216.571809714833,0.6542799000162631,29,6.823499655280495,20000
SA alpha=0.9,50,5,5247.37548556416,0.6493832999840379,29,6.879303415877103,20000
SA alpha=0.95,50,1,5178.418615268558,0.6467416000086814,29,6.754381549399563,20000
SA alpha=0.95,50,2,5180.276924401087,0.6419484000653028,27,6.938907471741099,20000
SA alpha=0.95,50,3,5267.8552125927445,0.6441861998755485,28,7.006984080783957,20000
SA alpha=0.95,50,4,5124.850282766487,0.6738156001083553,28,6.747917178924794,20000
SA alpha=0.95,50,5,5266.0525474679725,0.6461612000130117,29,6.913138672949225,20000
SA alpha=0.99,50,1,5267.159694020669,0.6286510999780148,28,7.005724083370778,20000
SA alpha=0.99,50,2,5164.226141701224,0.6850000999402255,28,6.819250256705116,20000
SA alpha=0.99,50,3,5165.033539063461,0.7054031000006944,28,6.82071293308598,20000
SA alpha=0.99,50,4,5196.752333738032,0.6879430999979377,29,6.7875948074964345,20000
SA alpha=0.99,50,5,5210.664721035386,0.7126983997877687,29,6.8127984076728,20000
